sent_rating,processed_text_KeepStopwords,data
positivo,Comprei para avaliar se ficaria com ela Não conhecia nada sobre Alexa Considerando o bom preço que estava quando comprei decidi por ficar com ela Tem sido válida a experiência Ao preço atual não compraria uma Realmente é meio surda O som para os diálogos dela é razoável Tenho usado para escutar as músicas inclusas no Prime daí conecto num amplificador por Bluetooh Conecta por comando de voz Melhora bastante mas nada comparável a escutar LPs ou CDs Audio por streaming é assim pela praticidade de se pedir a musica em viva voz e ela começar em instantes acaba valendo a pena Dá para ligar ela por fio no amplificador mas não melhora nada O BT dela e do amplificador são bons Esses dias escutei uma Echo do modelo não dot O som é melhor mas não justifica o investimento Ainda acho melhor a dot com o amplificador Tenho curiosidade sobre o modelo studio Quero descobrir se ela pode reproduzir meus MP3 Seria bom se fizesse preservando a qualidade que foram gerados a partir de CDs originais em alta taxa de bits Funciona bem com automação residencial,2021-05-19 00:00:00
negativo,O produto não conecta não aceita comandos e fica desconectando direto Decepcionado com a qualidade,2020-11-09 00:00:00
negativo,Reconhecimento de voz MUITO RUIM Estou cogitando devolver e comprar uma da terceira geração Fiz diversos testes comparando com a minha echo dot de segunda geração e aproximadamente a cada 10 vezes que a echo 2 ° me escutava a nova echo 4 ° me escutava apenas 3 vezes Impressionante como após anos de teste pesquisa e desenvolvimento conseguiram piorar um dos aspectos mais importantes do produto Comprei a nova imaginando que o reconhecimento de vóz seria ainda melhor e fiquei muito decepcionado A única forma de salvar minha experiência com o produto seria uma atualização de software que corrigisse esse defeito Resta descobrir se é um problema de hardware ou software,2020-11-25 00:00:00
positivo,Comprei para a casa da minha mãe que é uma senhora de idade e após as configurações que fiz pra ela agora ela se diverte pedindo músicas notícias perguntando algo e também acionando luzes e dispositivos comprados separadamente por comandos de voz por meio dos equipamentos de casa inteligente A maior sacada na verdade foi configurar a Alexa dela para que ela possa me ligar ou acionar a polícia ou bombeiros por comando de voz fizemos o teste apenas para o meu número claro e funcionou perfeitamente Eu já tenho uma Alexa e agora a minha mãe hehehe recomendo muito,2020-12-07 00:00:00
positivo,A qualidade de som é impecável mas o microfone é péssimo pois quase ela não te escuta e você precisa repetir várias vezes que chega a ser frustrante a ideia de uma assistente pessoal Comprei antes da Black Friday por 399E agora na BF eu comprei a Echodot 3 ° por 199 e tô devolvendo essa 4 ° ruim dimai Não vale o preço pago talvez pela qualidade de som agora o resto é praticamente inferior a 3 ° geração,2020-11-17 00:00:00
negativo,Alexa é surda!Um inferno comprei dois echo dot com relógio e em ambos tenho que ficar gritando que nem um retardado com esse Echo Me arrependi da compra não recomendo,2020-11-30 00:00:00
positivo,Do tamanho da minha mão Apesar de ver alguns reclamando dela não ouvir a uma certa distância a minha esta reconhecendo a minha voz super bem e a uma distância muito boa Qualidade de som me deixou impressionada Depois que vc faz os ajustes necessário ela é maravilhosa Eu não me arrependo de jeito nenhum vale muito a pena Os ajustes para reconhecimento de voz e aplicativos para ela poder fazer o necessário é super fácil baixa o aplicativo no celular o aplicativo deixa tudo super tranquilo de entender,2020-11-19 00:00:00
positivo,Vamos começar pela parte ruim o microfone Comprei uma Echo Dot da 3ª e outra da 4ª geração coloquei ambas no mesmo ambiente Eu falava próximo do aparelho de 4ª geração e quem ouvia era a da 3ª Tirei a 3ª geração do cômodo e fiz mais uns testes com posicionamento e notei que realmente esse modelo bola é mais surdo você tem que falar mais alto para acionar a Alexa Design é algo muito particular Não gostei do formato bola mas a luz led na parte inferior ficou bem legal porque reflete na superfície em que a Echo Dot está Sobre o som no começo achei que faltava mais graves se comparado com a 3ª geração mas a 4º geração tem um som mais claro dá pra distinguir melhor os instrumentos Na app Alexa do celular tem um equalizador eu aumentei os graves e diminuí um pouquinho os agudos O som ficou melhor mas nenhuma das duas possui realmente sons graves satisfatórios O volume das duas é surpreendentemente alto Acho que no fim ela cumpre sua proposta mas minha sugestão é comprar a de 3ª geração e plugar ela em outro sistema de som já que ela tem saída P2 aquelas de fone sabe Aí você terá a Echo Dot mais barata com melhor microfone e com som realmente satisfatório Ah Ela também pode parear com outro sistema de som via Bluetooth,2020-12-04 00:00:00
negativo,As vezes falha no reconhecimento tem que falar meio alto Comprei a versão preta e uma coisa que me incomoda muito esteticamente é o fato do adaptador de energia e o cabo do mesmo serem na cor BRANCA Sério Por que isso,2020-11-11 00:00:00
positivo,O design é lindo O anel de luz é bem forte O som de 0 a 10 fica com 8 O comando de voz de 0 a 10 fica com 9 O reconhecimento de voz de 0 a 10 fica com 9 A praticidade de 0 a 10 fica com 10 O acabamento de 0 a 10 fica com 10 Enquanto ao design é lindo combinou muito bem aqui em todos os ambientes que coloquei muito compacto e discreto O anel de luz é bem forte mas quando ela fica sobre uma superfície fosca o anel não se destaca Se você colocar ela sobre um mármore ou uma planície brilhosa ficará linda pois o anel de luz reflete e dá sensação de que ela está flutuando O som é bom mas quando você ajusta os graves no aplicativo e passa dos 50 ela distorce um pouco o que já era de se esperar pelo tamanho mas se você não ajustar no equalizador ela não distorce O comando de voz deixou um pouco a desejar pois quando ela está ligada tocando uma música por exemplo as vezes ela não te escuta e tu tem que elevar a voz mas não acho que ela é surda como dizem talvez a Amazon concerte isso com atualizações se ela não tiver tocando ela te escuta normal Enquanto ao reconhecimento de voz ela buga as vezes pois eu e meu namorado temos a voz parecida e as vezes ela confundiu as vozes O acabamento não tem rebarbas é muito bem construída a textura é muito gostosa e lembra jeans Os botões de desativar microfone baixar aumentar acionar Funcionam perfeitamente e são agradáveis de clicar Os comandos de músicas funcionam bem mas poderia melhorar pois as vezes ela não entende o que você pediu Já fiz 2 pedidos na Amazon por ela e é simples de mais pois não preciso entrar no app pra comprar só peço e ela compra Sim e de fato a fonte do cabo de alimentação é muito grande e não acho como muitos dizem que tinha que ter bateria uma assistente virtual que você fica carregando direito pode ser chato se ela ficar na tomada sempre melhor ainda Como você tá vendo na foto a fonte fica exposta mas ficou discreta pois é branca e o interruptor também é o lado bom é que o cabe é enorme Também é incrível como ela reconhece crianças minha sobrinha adora ela e pede galinha pintadinha mônica Marsha e o urso e ela toca Nos últimos dias vi que as pessoas estavam relatando um erro na reprodução de rotinas mas a Amazon disse que era um bug e estava corrigindo eu também tive esse problema Ao executar uma rotina ela tocava uma música e parava No mais achei ela incrível e pretendo ter outras vale a pena e o preço pagou o que foi entregue,2020-12-10 00:00:00
negativo,Excelente qualidade de som mas algumas coisas pesam contra A entrada 3.5 mm só funciona como saída de áudio sendo impossível reproduzir uma fonte externa por ela absolutamente sem sentido a caixa já tem uma excelente qualidade de som para colocar como prioridade conectar a outra caixa).A única forma de reproduzir uma fonte externa sem internet é pelo bluetooth então esteja ciente de ter um adaptador mais recente que seja compatível No modo em Português tem dificuldades com o inglês pois há uma tendência de aportuguesar algumas palavras O que não ocorre se você mudar o idioma pra inglês Se o nome do disco ou da musica estiver escrito diferente ou com complementos no deezer spotify vai ser um pouco dificil dela procurar pelo reconhecimento de voz Espere uma promoção e compre vale os 250 reais nada mais que isso,2021-02-03 00:00:00
positivo,A mídia não pôde ser carregada Adquiri a minha Echo Dot 4a geração no dia 20/6/2021 já fazem 54 dias que utilizo ela e estou satisfeito com o produto com a compra com a inteligência da assistente virtual porem com algumas ressalvas Ter uma Echo Dot em casa é ter uma infinidade de possibilidades de automação residencial na minha opinião entre as assistentes virtuais a Alexa nada de braçada em comparação a Google e Siri Muito mais fluída inteligente e pq não dizer mais próxima da realidade humana Não tem uma voz robótica é fluída e muito inteligente O aplicativo da Alexa na minha opinião é bom mas poderia melhorar deixando mais a vista opções como a de criar rotinas aumentar e reduzir volume sincronizar bluetooth mas no geral é bom e prático de utilizar A Echo Dot 4a geração tem um design muito bonito eu comprei a preta e ela ficou perfeita com o meu Case de Darth Vader que comprei no ML como pode-se ver na foto e vídeo Atualmente eu utilizo ela com 10 lâmpadas Wiz A60 Smart Controle Universal da Positivo Conversor 4 K NET Claro Soundbar LG SK9 TV LG Oled 55 B8 Roteador D-Link DIR-2680 e Módulo de automação de portão eletrônico AGL Izzy Open Wi-fi Tem funcionado perfeitamente com estes equipamentos e como todo fã de tecnologia é claro que pretendo adicionar novos dispositivos inteligentes a esta lista Ressalvas que acho conveniente fazer é em relação ao microfone dela que para captação de voz é bom mas falha algumas vezes mesmo falando em voz alta e as vezes surrando a palavra Alexa ela acorda e pergunta o que desejo Não sei dizer se isso é uma questão de calibragem do software ou hardware mas acho que é um ponto a se melhor nesta geração e nas próximas Já vi e ouvi diversos relatos de que o microfone da Echo Dot 3a geração é melhor do que o da 4a geração e confesso que endosso esta lista após minha experiência atual Mas este ponto em nada prejudica profundamente a experiência de uso da Echo Dot 4a geração Trata-se apenas de uma observação que acho que vale ser feita Em resumo recomento muito ter uma dessas em sua casa mas recomendo mais ainda para um melhor aproveitamento da experiência ter mais de uma por conta desta questão do microfone E não tem problema ter por exemplo uma Echo Dot 4a geração e ter uma de 3a geração em outro comodo já que elas se sincronizam e na minha opinião quase de equivalem,2021-08-13 00:00:00
negativo,Tenho diversos Echo em casa Tive a infeliz idéia de fazer a substituição dos dispositivos de 3 geração pelos de 4 geração Que decepção O Som não é melhor o tamanho é maior e o pior de tudo ele não ouve direito Tenho que falar mais alto para que ela aceite os comandos e mesmo assim ele tem uma dificuldade maior de compreender Estou pensando em fazer um downgrade para a 3 geração Se quiser um conselho fique com o de 3 geração,2021-05-07 00:00:00
positivo,A mídia não pôde ser carregada Atende bem minhas necessidades É possível criar rotinas por comando de voz por ex criei uma playlist no spotify e coloquei como rotina da alexa qualquer pessoa pode ativá-la e abrir essa rotina o que é muito bom pq ela está em um lugar que compartilho com outras pessoas).Para o reconhecimento de voz as vezes é necessário falar mais de uma vez O som é bom,2021-07-01 00:00:00
negativo,O produto é bonito o que espera de um item mais atual a qualidade de som atende minhas necessidades porém agora o porém como assistente comandado por voz o fato de ela não escutar os comandos a torna inútil Não ouvir os comandos faz com que qualquer beneficio design qualidade sonora se torne nada pois vc tem que estar junto do equipamento para ela entender os comandos tenho gen2 e gen3 minha Alexa Gen3 em outro cômodo da casa responde onde a Gen4 a poucos metros sequer ouve o comando NÃO COMPREM ESTE DISPOSITIVO DA QUARTA GERACAO é péssimo,2021-01-22 00:00:00
positivo,Comprei uma Echo DOT de 4 geração no shopping hoje e estou adorando bem melhor que a 3 geração O som é mais potente e mais nítido uma vez que a posição do alto-falante foi modificada Não percebi nenhum problema em relação ao reconhecimento de voz para mim não mudou continua bom não tive problemas até então,2020-11-17 00:00:00
positivo,A mídia não pôde ser carregada É um ótimo produto Te ajuda em diversas coisas no seu dia dia principalmente quem possui uma casa inteligente Bonito e tem um som de excelente qualidade que dá pra ajustar no app Não merece 5 estrelas por alguns motivos A pronúncia dela não é tão perfeita principalmente nas palavras com acento As vezes ela é meio surda sim mas percebi que é quando há mais barulho no local como a TV ligada por exemplo Algumas skills são interessantes mas a grande maioria são falhas Dependemos da boa vontade de quem faz tais skills para melhorar e termos mais usabilidade pra Alexa Enfim o Echo Dot vale muito a pena apesar dos pequenos detalhes,2021-03-23 00:00:00
negativo,Entrega rápida como sempre Mas estou decepcionada com meu echo pra ela te escutar tem q estar muito perto ou então tem que falar muito alto,2020-11-12 00:00:00
positivo,Aúdio excelente principalmente para quem gosta de músicas com graves Ela preenche uma casa toda somente com o som Controle de músicas ótima porém tem que ter uma assinatura separada para melhor aproveitamento O lado ruim é que não pega Youtube Music Só pega deezer não consegui vincular spotify tunel radio amazon music apple music Porém quando eu peço para tocar músicas no spotify ela toca rádio ao invés da música que eu pedi Para quem gosta de assistir jornal na televisão os noticiários dela vai te informar bastante Ela te informa sobre notícias tecnológicas G1 dentre outros Te informa o clima horário responde perguntas que estão na Web e na wikipedia porém são um pouco limitadas mesmo Para alarmes você tem inúmeras opções de escolha somente com a voz Você pode escolher acordar com a sua música preferida adiar alarmes dentre outras Você pode apagar as luzes trancar portas ligar ar condicionado e ventilador somente com a voz óbvio hahaha porém requer compras adicionais Você pode invadir sua alexa quando você quiser para conversar com sua família ouvir se tem algo estranho em casa Meio que fosse um interfone sabe?Lembrando que só é possível fazer chamadas para quem tem o aplicativo da Alexa instalado no celular ou que tem um echo dot em casa Sobre a privacidade a alexa não vai ficar espiando Ela só começa a processar frases após a frase de ativação alexa echo ou amazon Você pode ouvir as gravaçoes de voz e apagar também O reconhecimento de voz não é um dos melhores As vezes tem que falar 2 vezes alto para ela te ouvir mas nada que atrapalhe o mesmo,2020-12-05 00:00:00
positivo,Bom Primeiro gostaria de comentar sobre a entrega Comprei na sexta-feira BlackFriday é recebi no DOMINGO por volta das 16:00hs A configuração é bem simples e em poucos minutos você já sai falando com ela O reconhecimento de voz é muito bom pois meu filho de 6 anos inicialmente a chamava de Alex e pediu a música do Queen falando I Want to beck free E ela tocou O controle do volume pela voz também funciona bem As funções que tem no App são bem legais Sobre o som era exatamente o que eu queria A eco está na cozinha e consigo ouvir bem em outros cômodos da casa É bem potente Dá pra curtir bem Dá pra fazer muitas coisas eu agendo lembrete incluo produtos em uma lista de compras acionou tomar Meu filho descobriu que ela imita pum,2020-12-06 00:00:00
negativo,Como essa desgraça não conecta direito nem a outros produtos da Amazon resolvi dar à minha avó pra ela ouvir música afinal ela só escuta música gospel mesmo Eu disse a vó que alexa era crente que sabia ler a bíblia e tocar hinos evangélicos Vó ficou satisfeita por um tempo mas depois veio reclamar porque ela mandou alexa tocar uns hinos da harpa cristã e alexa disse que só tocava se ela pagasse Eu configurei uma conta do spotify no echo dot defini o spotify com aplicativo de músicas padrão mas a irmã alexa continua oferecendo assinaturas Eu só tenho o Amazon Prime Music porque não tem jeito do Amazon Prime vir sem essa porcaria até o Amazon Music Unlimited é um lixo mas parece que vou ter que pagar a contribuição da irmã alexa O echo dot também fica surdo se mudar o nome dele tem que deixar Alexa e pronto Quando minha prima Alexia for à casa de vó vai dar outra treta,2021-12-09 00:00:00
positivo,Entrega o que promete a assistente virtual é muito boa e tem ótimas respostas e interações não tem muito o que reclamar a não ser o reconhecimento de voz que deixa a desejar em alguns momentos como de longe que ela não escuta quando o som tá muito alto fica quase impossível ele te ouvir de longe e as vezes msm de perto vc tem que falar Alexa mais de 4/5 vezes Eu acho que isso pode mudar com uma atualização da Amazon já que essa é a primeira pq acabou de ser lançada mas tá dando um pouco de dor de cabeça Fora isso só tenho a elogiar uns dos melhores sons de mercado por esse valor da pra pedir qualquer música no Spotify e se vc quiser automatizar a sua casa é uma boa,2020-11-11 00:00:00
positivo,O produto excelente vale cada centavo Claro que o vocabulário é limitado no reconhecimento do que você pede se comparado com o assistente do G mas é muito bom Notei somente que ao pedir as notícias ele tem um delay entre a noticia apresentada e o que realmente esta na radio CBN pela manhã percebi que em alguns caos ela me dá a notícia do dia anterior E ao fim da tarde da as notícias de 2 horas atras Quanto as músicas 90 das músicas que pedi a ela foi tocado perfeitamente Os 10 que não foram tocadas ela ofereceu o pacote pago que claro não é necessário Se você formular corretamente a pergunta ela responderá com muita precisão Dá até para colar na prova online,2021-03-03 00:00:00
positivo,Gostei muito do produto Assim que chegou já fiquei um bom tempo mexendo tentando aprender as configurações Por enquanto somente tenho a TV da samsung que deu certo com a Alexa mas tive que baixar o aplicativo SmartThings pra poder parear achei que ela faria a conexão direto por também ser integrada com a alexa de fábrica Ainda estou apanhando um pouco em questão da configuração das skills achei um pouco complicado O próximo passo agora são as luzes e os serviços inteligentes Gostei bastante da configuração de música e da facilidade de falar com ela Lógico que se você pedir pra Alexa deixar o volume no máximo e tentar falar com ela de longe ela não vai te ouvir o som é alto Porém eu achei a qualidade do som um pouco comum a qualidade da premium deve ser melhor mas gostei mesmo assim Fácil comunicação e resposta muito rápida recomendo,2021-04-27 00:00:00
positivo,Pontos positivos Rotinas o que eu mais gostei de fato tem muitas possibilidades e sempre funcionam corretamente com todos os dispositivos conectados O som também é muito bom As Skills são maravilhosas e as respostas são muito rápidas Pontos negativos O tradutor não é tão bom como a da concorrente deixou muito a desejar Falta mais integração com os outros produtos da Amazon por exemplo não funciona com Fire Stick 2º geração Falta uma melhora no mecanismo de pesquisa Falta uma melhora no reconhecimento da voz Acredito que Alexa seja sim muito superior a Google Home porém ainda existe alguns pontos que a concorrente faz melhor,2020-12-04 00:00:00
positivo,Bonito funcional Alexa é interativa intuitiva e o som é de ótima qualidade para um aparelho deste tamanho Só um porém O manual é meio vago dá poucos detalhes Poderia ser mais descritivo e explicativo Mas ok,2020-11-08 00:00:00
negativo,O produto tem bom som boa resposta de voz mas eu estou frustrado sobre um problema que a Amazon classificou como incompatibilidade Minha Echo dot 4 fica dando play insistentemente nos meus vídeos áudios e músicas de aplicativos O bug é tanto que se eu abrir um vídeo no instagram no computador apertar play e sair da conversa o áudio do vídeo voltará sem que eu dê o comando Fiquei bastante decepcionado pois tentei por alguns meios resolver o problema mas não deu jeito O dispositivo também veio desatualizado e eu tive que entrar em contato para que ele fosse atualizado Tive a esperança que após a atualização o Bug fosse eliminado mas infelizmente continua,2021-03-26 00:00:00
negativo,O reconhecimento de voz pode ser bom para pessoas pouco exigente mas ele é muito fraco mesmo falando com clareza o Echo Dot apresenta respostas muito longe do esperado O Echo Dot não reconhece palavras principalmente as que não sejam do idioma escolhido e acaba fazendo pesquisas de coisas não desejadas O Echo Dot apresenta muitas poucas funções ele não consegue reproduzir um vídeo apenas pelo áudio a pesquisa por músicas não consegue alcançar resultados satisfatórios ressaltando o fato de não reconhecer palavras O número de informações que o Echo Dot pode fornecer são muito baixas também quando perguntamos sobre assuntos históricos ele simplesmente não respostas ou são respostas nada satisfatórias As Skills do Echo Dot não suprem a falta de acessibilidade do produto logo o consumidor que tenha altas expectativas com o produto a mais triste decepção A falta de acessibilidade do produto vai fazendo o consumidor perder o interesse e logo algo que deveria influenciar na vida de uma pessoa acaba virando apenas um enfeite de estante,2021-01-20 00:00:00
positivo,A caixa de som da Alexa é muito boa Caso você queira uma caixa de som posta ambientes pequenos uma reunião com os amigos ela cumpre muito bem seu papel As possibilidades de uso por ser uma caixa inteligente são bem interessantes parece simples e dispensável mas os comandos por voz ajudam muito Fazendo a integração com sua conta Amazon poderá fazer muitos usos coisas simples que vão se somando desde pedir um despertador um timer colocar produtos na lista de compras músicas entre os possibilidades,2021-01-12 00:00:00
negativo,Bom a novidade em si é boa pedir pra tocar musica e fazer perguntas quando quiser mas confesso que acho a inteligência artificial da Alexa meio questionável Comprei porque meu irmão tinha uma ótima de uma geração anterior que é mais achatadinha mas a minha que é desse modelo redondinho é meio surda Muitas vezes a gente pede as coisas pra ela e ela não compreende não entende faz outra coisa enfim dá muita raiva Outra coisa é que ela quer sempre tocar Amazon Music o que pra mim não faz sentido pois tenho Youtube Premium e Spotify então ela é irritante em não coletar as informações que damos a ela toda hora Outra coisa irritante é que apesar da gente sempre ouvir o mesmo tipo de musica ela não cria por conta própria uma playlist com nosso gosto musical Tem dias que você não quer escolher e pede para ela tocar uma música e ela toca o que ela gosta e algo que você nunca ouviu Enfim acho a inteligência artificial do Youtube Music bem mais interessante que a da Alexa,2021-10-14 00:00:00
negativo,Eu vi vários comentários dizendo que não capta direito a voz Teimoso que sou comprei msm assim Não vale a pena pelo ou menos n pra mim acreditem no que tô falando rs o bacana de um assistente de voz é justamente a precisão em ouvir e te atender sem precisar gritar ou repetir várias vezes Ela tá escuta quando quer depende mt do cômodo da direção e se tiver qualquer obstáculo por ex a tela do notebook entre sua voz e ela então esquece só gritando pra ela ouvir literalmente Então se como eu vc preza pela qualidade de reconhecimento um bom custo benefício é áudio satisfatório p um cômodo vai de alexa 3 Tô devolvendo essa é pegando uma segunda alexa 3 msm,2020-12-01 00:00:00
negativo,1- O som tem mais grave Têm mas depois que tu passa de um certo volume distorce o som absurdamente.2 Os microfones não tem nem de perto a mesma captação da versão anterior eu diria que ele tem uma capação 20 menor. 3-A fonte que vem com ele pelo menos o meu veio BRANCA e o aparelho é PRETO ficou visualemnte feia a combinação Eu acho que pisaram na bola MUITO nesta versão errou feio AMAZON não se trocaram os engenheiros o pessoal da qualidade do design mas eu diria pra mandar os que fizeram esste embora e contratar de volta os antigos se são os mesmos creio que já deram a contribuição que tinham pra dar,2020-11-29 00:00:00
positivo,A mídia não pôde ser carregada Gosto muito dos Echos tanto é que tenho alguns claro que faço teste em outras marcas também .Mais como testo produtos e quero deixar bem claro que não tenho nenhum tipo de patrocínio ou seja compro tudo do meu bolso .Eu tenho autônoma de dizer que sim todos os Echo S tem sim uma pontuação há cima da média são melhores em suas categorias Até o nome é sugestivo Alexa ou Echo e também Amazon .Obrigado e até breve,2021-06-03 00:00:00
positivo,Ótimo produto estou muito satisfeito com a Alexa Porém ela tem dificuldades para ouvir,2020-11-07 00:00:00
negativo,POSITIVOS Gostei do nosso desenho é mais bonita e o design parece mais atual Comparando com a ECHO 3 que tb tenho o som parece ter o mesmo volume qualidade com a característica falta de graves esperado pelo tamanho do alto falante).A nova ECHO 4 parece ter o som um pouco mais direcionado quando colocado de frente para o ouvinte NEGATIVOS A minha antiga ECHO 3 parece entender melhor os meus comandos eu raramente precisava repetir e ela respondia de imediato Na nova eu tenho que frequentemente repetir ou falar mais pausadamente e quando há ruído no ambiente fica pior ainda Também não gostei do novo cabo de força Tanto a minha ECHO 3 quanto a 4 são pretas porém o cabo de força da nova ECHO 4 veio em branco o que fica destoante na mesa fazendo com que o cabo fique claramente destacado da caixa SUGESTÃO Para ambas 3 e 4 eu gostaria de ter a opção de uma versão com bateria pra que eu possa levar a caixinha comigo pra onde for cozinha sala quarto churrasqueira etc.a ALEXA é boa demais pra ficar presa somente a locais com tomada,2020-12-29 00:00:00
negativo,Pessimo produto horrível não escuta é surda a versão anterior ganha de 1000 a 0.pensa num produtos porcaria horrível.você grita fala alto fala devagar é claro a porcaria do produto não escuta Amazon deixou a os clientes na maior furada.eu não recomendo jamais.eu tenho 3 versão anterior é são bom demais.eu comprei 5 Echo 4 geração eu devolvi 5 são = 3 ECHO 4 1ECHO DOT 4 COM RELOGIO 1 ECHO DOT 4 .PORCARIA TOTAL,2021-01-16 00:00:00
negativo,Comprei o Echo Dot 4a geração em 12/04/2021 em 15/04/2021 recebí o produto e iniciei a instalação Pois bem no início funcionou muito bem e até comprei outro Echo igual mas com o passar dos dias um começou a ficar com problemas para executar comandos simples como desligar luzes pesquisar na nuvem etc. Na data de hoje o segundo Echo que estava no meu quarto iniciou o despertador e não parou mais apesar de vários comandos para encerrar tal atividade Liguei e desliguei da energia por 2X mas o problema persistia Qual a solução Joguei na parede quebrou em vários pedaços aí sim resolveu enfim parou o despertador O outro Echo foi direto para o lixo perdi totalmente a confiabilidade na marca e seus produtos Se está a procura de um assistente virtual fuja da Amazon e seus Echos não valem nada,2021-06-09 00:00:00
