sent_rating,processed_text_NoStopwords,data
positivo,Comprei avaliar ficaria conhecia Alexa Considerando preço comprei decidi ficar sido válida experiência preço atual compraria Realmente surda som diálogos dela razoável usado escutar músicas inclusas Prime daí conecto amplificador Bluetooh Conecta comando voz Melhora comparável escutar LPs CDs Audio streaming praticidade pedir musica viva voz começar instantes acaba valendo pena ligar fio amplificador melhora BT dela amplificador bons dias escutei Echo modelo dot som melhor justifica investimento acho melhor dot amplificador curiosidade modelo studio descobrir reproduzir MP3 fizesse preservando qualidade gerados CDs originais alta taxa bits Funciona automação residencial,2021-05-19 00:00:00
negativo,produto conecta aceita comandos fica desconectando direto Decepcionado qualidade,2020-11-09 00:00:00
negativo,Reconhecimento voz RUIM cogitando devolver comprar geração Fiz diversos testes comparando echo dot geração aproximadamente 10 echo 2 ° escutava echo 4 ° escutava 3 Impressionante anos teste pesquisa desenvolvimento conseguiram piorar aspectos importantes produto Comprei imaginando reconhecimento vóz melhor fiquei decepcionado única salvar experiência produto atualização software corrigisse defeito Resta descobrir problema hardware software,2020-11-25 00:00:00
positivo,Comprei casa mãe senhora idade configurações fiz pra diverte pedindo músicas notícias perguntando acionando luzes dispositivos comprados separadamente comandos voz equipamentos casa inteligente sacada verdade configurar Alexa dela possa ligar acionar polícia bombeiros comando voz fizemos teste claro funcionou perfeitamente Alexa mãe hehehe recomendo,2020-12-07 00:00:00
positivo,qualidade som impecável microfone péssimo quase escuta precisa repetir várias chega frustrante ideia assistente pessoal Comprei Black Friday 399E BF comprei Echodot 3 ° 199 tô devolvendo 4 ° ruim dimai vale preço pago qualidade som resto praticamente inferior 3 ° geração,2020-11-17 00:00:00
negativo,Alexa surda!Um inferno comprei echo dot relógio ficar gritando retardado Echo arrependi compra recomendo,2020-11-30 00:00:00
positivo,tamanho mão Apesar reclamando dela ouvir certa distância reconhecendo voz super distância Qualidade som deixou impressionada vc ajustes necessário maravilhosa arrependo jeito nenhum vale pena ajustes reconhecimento voz aplicativos necessário super fácil baixa aplicativo celular aplicativo deixa super tranquilo entender,2020-11-19 00:00:00
positivo,Vamos começar ruim microfone Comprei Echo Dot 3ª 4ª geração coloquei ambiente falava aparelho 4ª geração ouvia 3ª Tirei 3ª geração cômodo fiz testes posicionamento notei realmente modelo bola surdo falar alto acionar Alexa Design particular gostei formato bola luz led inferior ficou legal reflete superfície Echo Dot som começo achei faltava graves comparado 3ª geração 4º geração som claro pra distinguir melhor instrumentos app Alexa celular equalizador aumentei graves diminuí pouquinho agudos som ficou melhor possui realmente sons graves satisfatórios volume surpreendentemente alto Acho cumpre proposta sugestão comprar 3ª geração plugar outro som saída P2 fone terá Echo Dot barata melhor microfone som realmente satisfatório Ah parear outro som via Bluetooth,2020-12-04 00:00:00
negativo,falha reconhecimento falar alto Comprei versão preta incomoda esteticamente fato adaptador energia cabo serem cor BRANCA Sério,2020-11-11 00:00:00
positivo,design lindo anel luz forte som 0 10 fica 8 comando voz 0 10 fica 9 reconhecimento voz 0 10 fica 9 praticidade 0 10 fica 10 acabamento 0 10 fica 10 design lindo combinou ambientes coloquei compacto discreto anel luz forte fica superfície fosca anel destaca colocar mármore planície brilhosa ficará linda anel luz reflete sensação flutuando som ajusta graves aplicativo passa 50 distorce esperar tamanho ajustar equalizador distorce comando voz deixou desejar ligada tocando música escuta elevar voz acho surda Amazon concerte atualizações tiver tocando escuta normal reconhecimento voz buga namorado voz parecida confundiu vozes acabamento rebarbas construída textura gostosa lembra jeans botões desativar microfone baixar aumentar acionar Funcionam perfeitamente agradáveis clicar comandos músicas funcionam poderia melhorar entende pediu fiz 2 pedidos Amazon simples preciso entrar app pra comprar peço compra fato fonte cabo alimentação acho tinha bateria assistente virtual fica carregando direito chato ficar tomada melhor tá vendo foto fonte fica exposta ficou discreta branca interruptor cabe enorme incrível reconhece crianças sobrinha adora pede galinha pintadinha mônica Marsha urso toca últimos dias vi pessoas estavam relatando erro reprodução rotinas Amazon disse bug corrigindo problema executar rotina tocava música parava achei incrível pretendo vale pena preço pagou entregue,2020-12-10 00:00:00
negativo,Excelente qualidade som coisas pesam entrada 3.5 mm funciona saída áudio sendo impossível reproduzir fonte externa absolutamente sentido caixa excelente qualidade som colocar prioridade conectar caixa).A única reproduzir fonte externa internet bluetooth esteja ciente adaptador recente seja compatível modo Português dificuldades inglês há tendência aportuguesar palavras ocorre mudar idioma pra inglês nome disco musica estiver escrito diferente complementos deezer spotify dificil dela procurar reconhecimento voz Espere promoção compre vale 250 reais,2021-02-03 00:00:00
positivo,mídia carregada Adquiri Echo Dot 4a geração dia 20/6/2021 54 dias utilizo satisfeito produto compra inteligência assistente virtual porem ressalvas Echo Dot casa infinidade possibilidades automação residencial opinião assistentes virtuais Alexa braçada comparação Google Siri fluída inteligente pq realidade humana voz robótica fluída inteligente aplicativo Alexa opinião poderia melhorar deixando vista opções criar rotinas aumentar reduzir volume sincronizar bluetooth prático utilizar Echo Dot 4a geração design bonito comprei preta ficou perfeita Case Darth Vader comprei ML pode-se foto vídeo Atualmente utilizo 10 lâmpadas Wiz A60 Smart Controle Universal Positivo Conversor 4 K NET Claro Soundbar LG SK9 TV LG Oled 55 B8 Roteador D-Link DIR-2680 Módulo automação portão eletrônico AGL Izzy Open Wi-fi funcionado perfeitamente equipamentos fã tecnologia claro pretendo adicionar dispositivos inteligentes lista Ressalvas acho conveniente microfone dela captação voz falha falando voz alta surrando palavra Alexa acorda pergunta desejo calibragem software hardware acho melhor geração próximas vi ouvi diversos relatos microfone Echo Dot 3a geração melhor 4a geração confesso endosso lista experiência atual prejudica profundamente experiência uso Echo Dot 4a geração Trata-se observação acho vale feita resumo recomento dessas casa recomendo melhor aproveitamento experiência conta microfone problema Echo Dot 4a geração 3a geração outro comodo sincronizam opinião quase equivalem,2021-08-13 00:00:00
negativo,diversos Echo casa infeliz idéia substituição dispositivos 3 geração 4 geração decepção Som melhor tamanho pior ouve direito falar alto aceite comandos dificuldade compreender pensando downgrade 3 geração quiser fique 3 geração,2021-05-07 00:00:00
positivo,mídia carregada Atende necessidades criar rotinas comando voz ex criei playlist spotify coloquei rotina alexa pessoa ativá-la abrir rotina pq compartilho pessoas).Para reconhecimento voz necessário falar som,2021-07-01 00:00:00
negativo,produto bonito espera item atual qualidade som atende necessidades assistente comandado voz fato escutar comandos torna inútil ouvir comandos beneficio design qualidade sonora torne vc junto equipamento entender comandos gen2 gen3 Alexa Gen3 outro cômodo casa responde Gen4 poucos metros sequer ouve comando COMPREM DISPOSITIVO GERACAO péssimo,2021-01-22 00:00:00
positivo,Comprei Echo DOT 4 geração shopping hoje adorando melhor 3 geração som potente nítido alto-falante modificada percebi nenhum problema reconhecimento voz mim mudou continua problemas,2020-11-17 00:00:00
positivo,mídia carregada ótimo produto ajuda diversas coisas dia dia principalmente possui casa inteligente Bonito som excelente qualidade pra ajustar app merece 5 estrelas motivos pronúncia dela perfeita principalmente palavras acento surda percebi há barulho TV ligada skills interessantes falhas Dependemos vontade skills melhorar termos usabilidade pra Alexa Enfim Echo Dot vale pena apesar pequenos detalhes,2021-03-23 00:00:00
negativo,Entrega rápida decepcionada echo pra escutar q falar alto,2020-11-12 00:00:00
positivo,Aúdio excelente principalmente gosta músicas graves preenche casa som Controle músicas ótima assinatura separada melhor aproveitamento ruim pega Youtube Music pega deezer consegui vincular spotify tunel radio amazon music apple music peço tocar músicas spotify toca rádio invés música pedi gosta assistir jornal televisão noticiários dela informar informa notícias tecnológicas G1 dentre informa clima horário responde perguntas Web wikipedia limitadas alarmes inúmeras opções escolha voz escolher acordar música preferida adiar alarmes dentre apagar luzes trancar portas ligar ar condicionado ventilador voz óbvio hahaha requer compras adicionais invadir alexa quiser conversar família ouvir estranho casa fosse interfone sabe?Lembrando chamadas aplicativo Alexa instalado celular echo dot casa privacidade alexa ficar espiando começa processar frases frase ativação alexa echo amazon ouvir gravaçoes voz apagar reconhecimento voz melhores falar 2 alto ouvir atrapalhe,2020-12-05 00:00:00
positivo,gostaria comentar entrega Comprei sexta-feira BlackFriday recebi DOMINGO volta 16:00hs configuração simples poucos minutos sai falando reconhecimento voz filho 6 anos inicialmente chamava Alex pediu música Queen falando I Want to beck free tocou controle volume voz funciona funções App legais som exatamente queria eco cozinha consigo ouvir cômodos casa potente pra curtir pra muitas coisas agendo lembrete incluo produtos lista compras acionou tomar filho descobriu imita pum,2020-12-06 00:00:00
negativo,desgraça conecta direito produtos Amazon resolvi avó pra ouvir música afinal escuta música gospel disse vó alexa crente sabia ler bíblia tocar hinos evangélicos Vó ficou satisfeita veio reclamar mandou alexa tocar hinos harpa cristã alexa disse tocava pagasse configurei conta spotify echo dot defini spotify aplicativo músicas padrão irmã alexa continua oferecendo assinaturas Amazon Prime Music jeito Amazon Prime vir porcaria Amazon Music Unlimited lixo vou pagar contribuição irmã alexa echo dot fica surdo mudar nome dele deixar Alexa pronto prima Alexia casa vó treta,2021-12-09 00:00:00
positivo,Entrega promete assistente virtual ótimas respostas interações reclamar reconhecimento voz deixa desejar momentos escuta som tá alto fica quase impossível ouvir msm vc falar Alexa 4/5 acho mudar atualização Amazon pq acabou lançada tá dando dor cabeça elogiar melhores sons mercado pra pedir música Spotify vc quiser automatizar casa,2020-11-11 00:00:00
positivo,produto excelente vale centavo Claro vocabulário limitado reconhecimento pede comparado assistente G Notei pedir notícias delay noticia apresentada realmente radio CBN manhã percebi caos notícia dia anterior notícias 2 horas atras músicas 90 músicas pedi tocado perfeitamente 10 tocadas ofereceu pacote pago claro necessário formular corretamente pergunta responderá muita precisão colar prova online,2021-03-03 00:00:00
positivo,Gostei produto chegou fiquei mexendo tentando aprender configurações TV samsung deu certo Alexa baixar aplicativo SmartThings pra parear achei faria conexão direto integrada alexa fábrica apanhando configuração skills achei complicado passo luzes serviços inteligentes Gostei configuração música facilidade falar Lógico pedir pra Alexa deixar volume falar ouvir som alto achei qualidade som comum qualidade premium melhor gostei Fácil comunicação resposta rápida recomendo,2021-04-27 00:00:00
positivo,positivos Rotinas gostei fato muitas possibilidades funcionam corretamente dispositivos conectados som Skills maravilhosas respostas rápidas negativos tradutor concorrente deixou desejar integração produtos Amazon funciona Fire Stick 2º geração melhora mecanismo pesquisa melhora reconhecimento voz Acredito Alexa seja superior Google Home existe concorrente melhor,2020-12-04 00:00:00
positivo,Bonito funcional Alexa interativa intuitiva som ótima qualidade aparelho tamanho manual vago poucos detalhes Poderia descritivo explicativo ok,2020-11-08 00:00:00
negativo,produto som resposta voz frustrado problema Amazon classificou incompatibilidade Echo dot 4 fica dando play insistentemente vídeos áudios músicas aplicativos bug abrir vídeo instagram computador apertar play sair conversa áudio vídeo voltará dê comando Fiquei decepcionado meios resolver problema deu jeito dispositivo veio desatualizado entrar contato fosse atualizado esperança atualização Bug fosse eliminado infelizmente continua,2021-03-26 00:00:00
negativo,reconhecimento voz pessoas exigente fraco falando clareza Echo Dot apresenta respostas esperado Echo Dot reconhece palavras principalmente sejam idioma escolhido acaba fazendo pesquisas coisas desejadas Echo Dot apresenta muitas poucas funções consegue reproduzir vídeo áudio pesquisa músicas consegue alcançar resultados satisfatórios ressaltando fato reconhecer palavras informações Echo Dot fornecer baixas perguntamos assuntos históricos simplesmente respostas respostas satisfatórias Skills Echo Dot suprem acessibilidade produto consumidor tenha altas expectativas produto triste decepção acessibilidade produto fazendo consumidor perder interesse deveria influenciar vida pessoa acaba virando enfeite estante,2021-01-20 00:00:00
positivo,caixa som Alexa Caso queira caixa som posta ambientes pequenos reunião amigos cumpre papel possibilidades uso caixa inteligente interessantes simples dispensável comandos voz ajudam Fazendo integração conta Amazon usos coisas simples somando pedir despertador timer colocar produtos lista compras músicas possibilidades,2021-01-12 00:00:00
negativo,novidade si pedir pra tocar musica perguntas quiser confesso acho inteligência artificial Alexa questionável Comprei irmão tinha ótima geração anterior achatadinha modelo redondinho surda Muitas gente pede coisas pra compreende entende enfim muita raiva tocar Amazon Music pra mim sentido Youtube Premium Spotify irritante coletar informações damos hora irritante apesar gente ouvir musica cria conta própria playlist gosto musical dias escolher pede tocar música toca gosta ouviu Enfim acho inteligência artificial Youtube Music interessante Alexa,2021-10-14 00:00:00
negativo,vi comentários dizendo capta direito voz Teimoso comprei msm vale pena n pra mim acreditem tô falando rs bacana assistente voz justamente precisão ouvir atender precisar gritar repetir várias tá escuta depende mt cômodo direção tiver obstáculo ex tela notebook voz esquece gritando pra ouvir literalmente vc preza qualidade reconhecimento custo benefício áudio satisfatório p cômodo alexa 3 Tô devolvendo pegando alexa 3 msm,2020-12-01 00:00:00
negativo,1- som grave passa certo volume distorce som absurdamente.2 microfones mesma captação versão anterior diria capação 20 menor. 3-A fonte veio BRANCA aparelho PRETO ficou visualemnte feia combinação acho pisaram bola versão errou feio AMAZON trocaram engenheiros pessoal qualidade design diria pra mandar fizeram esste contratar volta antigos mesmos creio deram contribuição tinham pra,2020-11-29 00:00:00
positivo,mídia carregada Gosto Echos claro teste marcas .Mais testo produtos deixar claro nenhum patrocínio seja compro bolso .Eu autônoma Echo S pontuação há média melhores categorias nome sugestivo Alexa Echo Amazon .Obrigado,2021-06-03 00:00:00
positivo,Ótimo produto satisfeito Alexa dificuldades ouvir,2020-11-07 00:00:00
negativo,POSITIVOS Gostei desenho bonita design atual Comparando ECHO 3 tb som volume qualidade característica graves esperado tamanho alto falante).A ECHO 4 som direcionado colocado frente ouvinte NEGATIVOS antiga ECHO 3 entender melhor comandos raramente precisava repetir respondia imediato frequentemente repetir falar pausadamente há ruído ambiente fica pior gostei cabo força ECHO 3 4 pretas cabo força ECHO 4 veio branco fica destoante mesa fazendo cabo fique claramente destacado caixa SUGESTÃO 3 4 gostaria opção versão bateria pra possa levar caixinha comigo pra cozinha sala churrasqueira etc.a ALEXA pra ficar presa locais tomada,2020-12-29 00:00:00
negativo,Pessimo produto horrível escuta surda versão anterior ganha 1000 0.pensa produtos porcaria horrível.você grita fala alto fala devagar claro porcaria produto escuta Amazon deixou clientes furada.eu recomendo jamais.eu 3 versão anterior demais.eu comprei 5 Echo 4 geração devolvi 5 = 3 ECHO 4 1ECHO DOT 4 RELOGIO 1 ECHO DOT 4 .PORCARIA TOTAL,2021-01-16 00:00:00
negativo,Comprei Echo Dot 4a geração 12/04/2021 15/04/2021 recebí produto iniciei instalação início funcionou comprei outro Echo igual passar dias começou ficar problemas executar comandos simples desligar luzes pesquisar nuvem etc. data hoje Echo iniciou despertador parou apesar comandos encerrar atividade Liguei desliguei energia 2X problema persistia solução Joguei parede quebrou pedaços resolveu enfim parou despertador outro Echo direto lixo perdi totalmente confiabilidade marca produtos procura assistente virtual fuja Amazon Echos valem,2021-06-09 00:00:00
positivo,simplesmente AMO Alexa mudou rotina dela consegui automatizar fosse ficaria fácil Skills sono ajudaram dormir muita insônia sons chuva possibilidade criar rotinas ótima adoro dia alexa dia diferente Ajuda lembrar eventos reuniões entregas trabalho listas compras esqueço KKKKK estiver dela celular lembra Comprei outro Echo Dot mãe conversamos Adorei função várias Skills adoro jogos contar histórias piadas entende músicas peço vantagem monstruosa acho ler kindle abre livro exatamente parei leitura lê mim audiobook Incrível simplesmente Ajuda Adoro Vou colocar casa inteira,2021-05-09 00:00:00
negativo,tinha Google assistente troquei Alexa desapontado dificuldades reconhecer dispositivos acendê-los separadamente chamado junto engenharia Amazon verificar acontece Vamos conseguem consertar lâmpadas cozinha peço Alexa acender luzes cozinha pede confirmar quis cozinha descobri problema verdade identifica cozinha identifica palavra luzes dispositivos pedir acender cozinha acende luzes solução funciona luzes cozinha tivesse aparelhos fossem ligados Alexa iriam ligar pedisse ativar cozinha,2020-12-07 00:00:00
negativo,comprem versão Echo escuta comando Alexa preciso gritar estando 1 metrô pra entender ouvir comando falo Alexa 5 10 pra responder absurdo tinha versão anterior INFINITAMENTE MELHOR reconhecimento voz Vou devolver pedir reembolso,2020-12-21 00:00:00
positivo,Trabalho empresa projeta suportes Echo Dot acesso modelo 4 lançamento período pude testar comprarar dispositivo modelo 3 anterior design quase esfera corte base Visualmente dispositivos diferentes anterior disco bolinha projeto alto falante esférico contato Harman Kardon Onyx dispositivo tinha excelentes graves Acredito mudar aparência melhorar graves tenha sido principal objetivo mudança design Echo Dot Será graves melhoraram som Echo Dot 4?A diferença acabou sendo sutil Pude perceber melhora batidas ouvindo Hip Hop 50 Cent Dre som deixa desejar quesito caixinha vibra tímida graves Dot 3 Dot 4 dispositivo projeto vocal significa som ótimo sertanejos músicas POP rocks som fica legal ouvir Dark Necessities Red Hot achei faltou pegada fiel som mudança importante dispositivo direcional significa som sai direções saia versão anterior aponta Dot 4 direção som espalha 180 graus invés 360 mudança posicionava Dot 3 centro cômodo acredito eram raros casos mudaram).No considerando porte caixa som esperado comparável JBL porte design gostei formato iluminação interativa led mudou face superior fica base dispositivo mudança trouxe certo charme caixinha reconhecimento voz perceber certa melhoria adição microfones captação voz houve melhorar substancial incremental software continuamente aperfeiçoado fica difícil distinguir melhoria software melhoria hardware dica treinar aplicativo voz reconhecimento melhora significativamente Basta baixar APP Alexa passo passo inicial configuração encontra opção problema continua sendo bateria dispositivo funciona tomada fonte grandinha cabo chama atenção deveria tirando brilho dispositivo vide fotos Echo Dot 4 pensada uso superfície plana mesa escrivaninha som fica bacana caixinha fica chão uso diário senti principalmente oferta suportes tomada embutir forro teto posicionam melhor dispositivo escondem fonte cabo ocorreu Echo Dot 3 problema resolvido,2020-11-16 00:00:00
negativo,Captura voz ruim chegar ouvir poucos centímetros metros falando alto Comprei pra comandar aparelhos sofá pra ficar levantando pra falar gostei,2020-11-09 00:00:00
positivo,Echo Dot 4ª Geração cumpre promete som limpo potente capacidade reconhecimento fala execução tarefas completa Cumpre prometido configuração fácil rápida intuitiva autorizar conexão conta compra aplicativo Alexa reconhecer terminar configuração dispositivo uso dificuldade resto aproveitar imensa gama skills funcionalidades equipamento oferecer alcance escuta microfone alto comandos entendidos sejam ditos outro cômodo casa Basta falar clara,2020-11-08 00:00:00
negativo,mídia carregada Péssimo experiência dispositivos Echo usando durante 10 dias início reconhecimento palavra ativação eram rápidas falando Conseguia captar fiz nenhum alteração configurações troquei ultimamente escutado aconteça falar inúmeras gritar fiz vídeo mesma ativou ativou auxílio aperto botões produto péssimo agradou experiência início havia sido incrível hoje dia dado dor cabeça frustrações comprei 4 achando melhor 3 visto olha exatamente 10 dias uso achei ficaria inteligente passar devido começar conhecer rotinas simplesComando tá complicado reconhecimento palavra ativação!!NÃO RECOMENDO,2020-12-12 00:00:00
negativo,Completamente frustrado paguei caro veio microfone inferior microfone inferior echo dot 3 ouve decepcionado preço alto microfone inferior áudio ótimo serve tocar musica falar 3 conseguir ativar,2020-11-11 00:00:00
negativo,dificuldade entender fala,2020-11-06 00:00:00
positivo,dias usando percebi som superior geração respostas rápidas Único probleminha senti melhorou modelo microfone dificuldade ouvir quesito acho geração sai melhor preferir qualidade áudio pra músicas melhor opção faixa 400 reais,2020-11-07 00:00:00
negativo,reconhecimento voz melhores Poderiam adicionar + 1 microfone invés manter 4 microfones igual echo dot 3 preciso chamá-la 3x pra responder,2020-11-09 00:00:00
positivo,Sensacional,2020-11-05 00:00:00
positivo,mídia carregada Gostei poucos dispositivos smart home experiência sido gostei criados perfis usuários membros família terem entrar conta Amazon escolher perfil deles permite tenham próprias skills vinculem Spotify contas mudam vínculo muda perfis,2021-01-08 00:00:00
positivo,Echo Dor 3ª geração 4ª geração compramos deixar filhos microfone dela geração anterior chamar várias responder responde funcionalidades skills igual som percebi melhor usamos ouvir música usamos automação residencial assistente pessoal,2021-01-01 00:00:00
positivo,Echo Dot qualidade som limitada razoável ambientes pequenos específicos banheiro estéreo contorna limitações técnicas recomendaria compra pensando dispositivo áudio exclusivo melhores principal vantagem atual geração utilização dispositivo integrado automação residencial limitada Brasil skills limitadas Alexa sendo melhor Brasil microfone velocidade processamento bons atual geração equipara Echo Studio acima Echo Show 10 ótimo reconhecimento idiomas misturando inglês português vejo melhor aplicação porta P2 conectada alguma caixa som potente antiga Marshall 6 anos ficou inteligente aliada potência Studio lançada 5 anos serve comandos simples automação residencial compraria Echo Dot tivesse dispositivos inteligentes casa compatíveis Alexa fosse pra integrar caixa antiga potente adicionar inteligência áudio integração Spotify reconhece mistura idiomas Peca Tidal compatível nativo Brasil aplicações uso cotidiano ficam inúteis poano Uber iFood extremamente limitados portais notícias atualizadas noite ouvir café manhã ouvir repetida dia anterior Horóscopo bobeira estimativa trânsito reconhece Espero acrescentem Tidal Brasil melhorem aplicações atuais recomendo relogio ficar informação funciona decoração ambiente ajuda informações volume timer clima,2021-04-01 00:00:00
negativo,Comprei Echo Dot 4ª G sabendo tratava contrário vejo muita gente comentando item necessidade vantagens extrair coisas interessantes alguma inventividade vida caixinha som bluetooth qualidade Destaquei bluetooth reprodutora app música péssima roda playlists grava preferências entende comandos tento usá-la serviço música Amazon Music raiva raiva negócio rodar conexão direta Outro decepcionou leitura Kindle Pensei poderia usá-la ouvir documentos roda ebooks tenham sido comprados Amazon Kindle suporte pdfs Consumo artigo acadêmico achei teria ganho ouvindo-os executo atividades dei vou entender aparelho bateria depender conectado rede elétrica full time Enfim críticas muitas contundentes comprei expectativas expectativas baixas senti ficou aquém desejado crianças divertem fazendo milhões perguntas bobas,2021-08-20 00:00:00
positivo,Uso Eco dot assistente n uso caixa som q comprei perdi compromisso som dela MT alto sendo versão básica distorção controle app TB tenha interface uso prática usou acustuma Optei ficxar bolinhas silicone base gastar borracha aliás MT TB).O cabo relativamente único negativo q entende falo raro acontece impeditivo adquirir,2021-04-09 00:00:00
positivo,quase sinto série Years and Years HBO precisamos avanços conexão banda larga ajustes interações orgânicas Alexa perfil digo usuária interior Pará adaptando skills úteis pra mim produto serviço potencialmente necessário âmbitos cotidiano abrangência usos propõe dominar presença casas humanos consciente sigo entregando dados Amazon troca luto,2021-03-15 00:00:00
positivo,mídia carregada Adorei achei surda vi avaliações achei escuta preciso gritar falar claramente qualidade som excelente Uso pra lembrar coisas ouvir música durante trabalho Gosto automações vc programar investir lâmpada pro abajur aparelho pra TV pra conseguir interagir cabinho cor diferente incomoda pq fica escondido bacana base carga pra caso quisesse transportá-la pra algum temporariamente banheiro funcionalidade anunciar acredito mto legal casas Achei voz dela tbm mecânica fluida função contar histórias mto tbm Gostei mto modo queria esperei aparecer promoção,2021-07-07 00:00:00
positivo,absolutamente nenhum problema reconhecimento som microfone várias pessoas reportaram Alexa atende normalmente precisar gritar chamar alto Qualidade sonora dela impecável ambientes pequenos Utilizo volume 2 3.No notebook antigo pareio bluetooth audio dela cracks notebook utilizado telefone acontece sai perfeito Sincronizo agenda Google avisa eventos próximos Ouvir Spotify Amazon Music outro serviço música experiência,2021-06-14 00:00:00
positivo,usuário Alexa equipamentos casa Comprei instalei Echo Dot 4ª Geração ficando satisfeito Echo Dot 3ª Geração Echo Show 5 Fiz comparação achei 4ª Geração potência som melhor Echo Dot 3ª Geração acontece Echo Show 5 som direcionado trás som direcionado frente diferentemente Echo Dot 3ª Geração distribui 360⁰.Portanto caso venha utilizar equipamento canto parede Echo Dot 4ª Geração terá performance melhor Echo Dot 3ª Geração acho potência Echo Dot 4ª Geração Echo Show 5 fazendo performance melhor Entretanto objetivo centralizar equipamento distribuir som ambiente Echo Dot 3ª Geração satisfazer melhor usuário Independente acima colocado satisfeito Echo Dot 4ª Geração,2020-12-18 00:00:00
positivo,qualidade excepcional sendo modelo avançado caro Ótimo custo-benefício Adoro uso timers notícias previsão lembretes alarmes rastreamento encomendas Correios tocar Spotify radios on-line agendar utilizar itens casa inteligente lâmpadas plugs aparelhos incluindo bomba aciona enchimento caixa água programei rotina desperdicei água luz programo acendimento desligamento lâmpadas,2021-02-28 00:00:00
positivo,Eh linda som eh ótimo soubfa produto Comprei echo dot 3 4 acho dot 3 vantagens eh facilmente montável parede ficando móvel vc quiser rapidamente diferente casa sinceramente áudio 4 eh melhor arrependo comprado 4 relógio Sendo acho produto sentido gastar compre geração 3 grana compra geração 4 relógio foto 4 relógio eh escolha estranha,2020-12-30 00:00:00
positivo,Alexa Echo Dot divertida ótima qualidade som considerando-se tamanho reduzido ouve comandos distância andares casa funções úteis intercomunicador recados mensagens deixados membros família proporciona horas conversas lazer enfim supera expectativa preço senão infelizmente suporte YouTube Music comandos voz funciona caixa som bluetooth obriga Amazon Music Spotify outro suportado assinante Prime usando Amazon Music limitações repertório).Os controles ar condicionado LG TV Samsung funcionam ok perdem conexão algum probleminha wi-fi lâmpadas dispositivos wi-fi pude testar comandos estiver dúvida concorrente preço similar controle casa ouvir música aconselho ficar Echo Dot principalmente qualidade som surpreendeu positivamente,2021-04-21 00:00:00
positivo,Vale experiência aparelho ótima facilitou vida aspectos pessoa gosta listas organização automatismo casa pude opção Echo ajuda tarefas dia dia agilidade importante qualidade som músicas facilidade pedir tocar Comprei presente pros pais achei altamente necessária função airdrop acho fiz escolha,2021-03-08 00:00:00
