Title,Rating,Comment,Date Review
"







  
  
    Microfone pior que na geração anterior
  
","4,0 de 5 estrelas","









  
  
    
  Vamos começar pela parte ruim, o microfone. Comprei uma Echo Dot da 3ª e outra da 4ª geração, coloquei ambas no mesmo ambiente. Eu falava próximo do aparelho de 4ª geração e quem ouvia era a da 3ª! Tirei a 3ª geração do cômodo e fiz mais uns testes com posicionamento e notei que realmente esse modelo ""bola"" é mais surdo, você tem que falar mais alto para acionar a Alexa.Design é algo muito particular. Não gostei do formato bola mas a luz led na parte inferior ficou bem legal porque reflete na superfície em que a Echo Dot está.Sobre o som, no começo achei que faltava mais graves se comparado com a 3ª geração, mas a 4º geração tem um som mais claro, dá pra distinguir melhor os instrumentos. Na app Alexa do celular tem um equalizador, eu aumentei os graves e diminuí um pouquinho os agudos. O som ficou melhor, mas nenhuma das duas possui realmente sons graves satisfatórios. O volume das duas é surpreendentemente alto.Acho que no fim ela cumpre sua proposta, mas minha sugestão é comprar a de 3ª geração e plugar ela em outro sistema de som, já que ela tem saída P2 (aquelas de fone, sabe?). Aí você terá a Echo Dot mais barata, com melhor microfone e com som realmente satisfatório. Ah! Ela também pode parear com outro sistema de som via Bluetooth.

  
",Avaliado no Brasil em 4 de dezembro de 2020
"







  
  
    As vezes falha no reconhecimento, tem que falar meio alto...
  
","3,0 de 5 estrelas","









  
  
    
  As vezes falha no reconhecimento, tem que falar meio alto...Comprei a versão preta, e uma coisa que me incomoda muito esteticamente é o fato do adaptador de energia e o cabo do mesmo serem na cor BRANCA? Sério? Por que isso?

  
",Avaliado no Brasil em 11 de novembro de 2020
"







  
  
    NÃO É SURDA, CABO EXPOSTO, AZUL PERFEITO, BUG
  
","5,0 de 5 estrelas","









  
  
    
  O design é lindo. O anel de luz é bem forte. O som de 0 a 10 fica com 8. O comando de voz de 0 a 10 fica com 9. O reconhecimento de voz de 0 a 10 fica com 9. A praticidade de 0 a 10 fica com 10. O acabamento de 0 a 10 fica com 10. Enquanto ao design é lindo, combinou muito bem aqui em todos os ambientes que coloquei, muito compacto e discreto. O anel de luz é bem forte, mas quando ela fica sobre uma superfície fosca, o anel não se destaca... Se você colocar ela sobre um mármore, ou uma planície brilhosa, ficará linda, pois o anel de luz reflete e dá sensação de que ela está flutuando. O som é bom, mas quando você ajusta os graves no aplicativo e passa dos 50% ela distorce um pouco ( o que já era de se esperar pelo tamanho ), mas se você não ajustar no equalizador, ela não distorce. O comando de voz deixou um pouco a desejar, pois quando ela está ligada tocando uma música por exemplo, as vezes ela não te escuta e tu tem que elevar a voz ( mas não acho que ela é surda como dizem ) talvez a Amazon concerte isso com atualizações, se ela não tiver tocando, ela te escuta normal. Enquanto ao reconhecimento de voz, ela buga as vezes, pois eu e meu namorado temos a voz parecida e as vezes ela confundiu as vozes. O acabamento não tem rebarbas, é muito bem construída, a textura é muito gostosa e lembra jeans. Os botões de desativar microfone, baixar, aumentar, acionar... Funcionam perfeitamente e são agradáveis de clicar. Os comandos de músicas funcionam bem, mas poderia melhorar, pois as vezes ela não entende o que você pediu. Já fiz 2 pedidos na Amazon por ela, e é simples de mais, pois não preciso entrar no app pra comprar, só peço e ela compra. Sim, e de fato, a fonte do cabo de alimentação é muito grande, e não acho como muitos dizem que tinha que ter bateria, uma assistente virtual que você fica carregando direito, pode ser chato, se ela ficar na tomada sempre, melhor ainda. Como você tá vendo na foto a fonte fica exposta, mas ficou discreta pois é branca e o interruptor também é, o lado bom é que o cabe é enorme. Também é incrível como ela reconhece crianças, minha sobrinha adora ela e pede galinha pintadinha, mônica, Marsha e o urso, e ela toca. Nos últimos dias vi que as pessoas estavam relatando um erro na reprodução de rotinas, mas a Amazon disse que era um bug e estava corrigindo, eu também tive esse problema... Ao executar uma rotina ela tocava uma música e parava. No mais, achei ela incrível e pretendo ter outras, vale a pena, e o preço pagou o que foi entregue.

  
",Avaliado no Brasil em 10 de dezembro de 2020
"







  
  
    espere uma promoção
  
","3,0 de 5 estrelas","









  
  
    
  Excelente qualidade de som, mas algumas coisas pesam contra. A entrada 3.5mm só funciona como saída de áudio, sendo impossível reproduzir uma fonte externa por ela (absolutamente sem sentido, a caixa já tem uma excelente qualidade de som para colocar como prioridade conectar a outra caixa).A única forma de reproduzir uma fonte externa sem internet é pelo bluetooth. então esteja ciente de ter um adaptador mais recente que seja compatível.No modo em Português tem dificuldades com o inglês pois há uma tendência de ""aportuguesar"" algumas palavras. O que não ocorre se você mudar o idioma pra inglês.Se o nome do disco ou da musica estiver escrito diferente, ou com complementos no deezer/spotify, vai ser um pouco dificil dela procurar pelo reconhecimento de voz.Espere uma promoção e compre. vale os 250 reais, nada mais que isso.

  
",Avaliado no Brasil em 3 de fevereiro de 2021
"







  
  
    Entre as assistentes virtuais a Alexa nada de braçada porem com algumas ressalvas
  
","4,0 de 5 estrelas","


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    A mídia não pôde ser carregada.
                
            
                
            
        
    
    










  
  
    
   Adquiri a minha Echo Dot 4a geração no dia 20/6/2021, já fazem 54 dias que utilizo ela e estou satisfeito com o produto, com a compra, com a inteligência da assistente virtual, porem com algumas ressalvas.Ter uma Echo Dot em casa, é ter uma infinidade de possibilidades de automação residencial, na minha opinião entre as assistentes virtuais a Alexa nada de braçada, em comparação a Google e Siri.Muito mais fluída, inteligente e pq não dizer, mais próxima da realidade humana. Não tem uma voz robótica, é fluída e muito inteligente.O aplicativo da Alexa, na minha opinião é bom, mas poderia melhorar, deixando mais a vista, opções como a de criar rotinas, aumentar e reduzir volume, sincronizar bluetooth mas no geral é bom e prático de utilizar.A Echo Dot 4a geração, tem um design muito bonito, eu comprei a preta, e ela ficou perfeita com o meu Case de Darth Vader que comprei no ML, como pode-se ver na foto e vídeo.Atualmente eu utilizo ela com 10 lâmpadas Wiz A60, Smart Controle Universal da Positivo, Conversor 4K NET/Claro, Soundbar LG SK9, TV LG Oled 55 B8, Roteador D-Link DIR-2680, e Módulo de automação de portão eletrônico AGL Izzy Open Wi-fi. Tem funcionado perfeitamente com estes equipamentos, e como todo fã de tecnologia, é claro que pretendo adicionar novos dispositivos inteligentes a esta lista.Ressalvas que acho conveniente fazer é em relação ao microfone dela, que para captação de voz é bom, mas falha algumas vezes, mesmo falando em voz alta. e as vezes surrando a palavra ""Alexa"", ela acorda e pergunta o que desejo. Não sei dizer se isso é uma questão de calibragem do software ou hardware, mas acho que é um ponto a se melhor nesta geração e nas próximas. Já vi e ouvi diversos relatos de que o microfone da Echo Dot 3a geração é melhor do que o da 4a geração, e confesso que endosso esta lista após minha experiência atual. Mas este ponto em nada prejudica profundamente a experiência de uso da Echo Dot 4a geração. Trata-se apenas de uma observação que acho que vale ser feita.Em resumo recomento muito ter uma dessas em sua casa, mas recomendo mais ainda, para um melhor aproveitamento da experiência, ter mais de uma, por conta desta questão do microfone. E não tem problema ter por exemplo uma Echo Dot 4a geração, e ter uma de 3a geração em outro comodo, já que elas se sincronizam e na minha opinião quase de equivalem.

  
",Avaliado no Brasil em 13 de agosto de 2021
"







  
  
    Este dispositivo é mais ""surdo"" do que a terceira geração
  
","2,0 de 5 estrelas","









  
  
    
  Tenho diversos Echo em casa. Tive a infeliz idéia de fazer a substituição dos dispositivos de 3 geração pelos de 4 geração. Que decepção. O Som não é melhor, o tamanho é maior, e o pior de tudo, ele não ouve direito. Tenho que falar mais alto para que ela aceite os comandos e mesmo assim ele tem uma dificuldade maior de compreender. Estou pensando em fazer um downgrade para a 3 geração. Se quiser um conselho, fique com o de 3 geração.

  
",Avaliado no Brasil em 7 de maio de 2021
"







  
  
    Muito bom
  
","4,0 de 5 estrelas","


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    A mídia não pôde ser carregada.
                
            
                
            
        
    
    










  
  
    
   Atende bem minhas necessidades.É possível criar rotinas por comando de voz (por ex: criei uma playlist no spotify e coloquei como rotina da alexa. qualquer pessoa pode ativá-la e abrir essa rotina - o que é muito bom pq ela está em um lugar que compartilho com outras pessoas).Para o reconhecimento de voz, as vezes, é necessário falar mais de uma vez.O som é bom.

  
",Avaliado no Brasil em 1 de julho de 2021
"







  
  
    É surda !!!
  
","1,0 de 5 estrelas","









  
  
    
  O produto é bonito, o que espera de um item mais atual, a qualidade de som atende minhas necessidades, porém, agora o porém.... como assistente comandado por voz, o fato de ela não escutar os comandos a torna inútil.Não ouvir os comandos faz com que qualquer beneficio (design, qualidade sonora) se torne nada, pois vc tem que estar junto do equipamento para ela entender os comandos (tenho gen2 e gen3). minha Alexa Gen3 em outro cômodo da casa responde onde a Gen4 a poucos metros sequer ouve o comando.NÃO COMPREM ESTE DISPOSITIVO DA QUARTA GERACAO, é péssimo !!!!

  
",Avaliado no Brasil em 22 de janeiro de 2021
"







  
  
    Som de qualidade num speaker pequeno!!!
  
","5,0 de 5 estrelas","









  
  
    
  Comprei uma Echo DOT de 4 geração no shopping hoje e estou adorando, bem melhor que a 3 geração. O som é mais potente e mais nítido, uma vez que a posição do alto-falante foi modificada. Não percebi nenhum problema em relação ao reconhecimento de voz, para mim não mudou, continua bom, não tive problemas até então.

  
",Avaliado no Brasil em 17 de novembro de 2020
"







  
  
    Excelente, mas poderia melhorar em alguns aspectos
  
","4,0 de 5 estrelas","


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    A mídia não pôde ser carregada.
                
            
                
            
        
    
    










  
  
    
   É um ótimo produto. Te ajuda em diversas coisas no seu dia dia, principalmente quem possui uma ""casa inteligente"". Bonito e tem um som de excelente qualidade (que dá pra ajustar no app). Não merece 5 estrelas por alguns motivos: A pronúncia dela não é tão perfeita, principalmente nas palavras com acento. As vezes ela é meio surda sim, mas percebi que é quando há mais barulho no local, como a TV ligada, por exemplo. Algumas skills são interessantes, mas a grande maioria são falhas. Dependemos da boa vontade de quem faz tais skills para melhorar e termos mais usabilidade pra Alexa. Enfim, o Echo Dot vale muito a pena, apesar dos pequenos detalhes.

  
",Avaliado no Brasil em 23 de março de 2021
"







  
  
    Não era o que eu esperava.
  
","3,0 de 5 estrelas","









  
  
    
  Entrega rápida como sempre. Mas estou decepcionada com meu echo, pra ela te escutar tem q estar muito perto ou então tem que falar muito alto.

  
",Avaliado no Brasil em 12 de novembro de 2020
"







  
  
    Excelente Assistente Virtual
  
","4,0 de 5 estrelas","









  
  
    
  Aúdio excelente, principalmente para quem gosta de músicas com graves. Ela preenche uma casa toda somente com o som.Controle de músicas ótima, porém tem que ter uma assinatura separada para melhor aproveitamento. O lado ruim é que não pega Youtube Music. Só pega deezer (não consegui vincular), spotify, tunel radio, amazon music, apple music. Porém quando eu peço para tocar músicas no spotify, ela toca rádio, ao invés da música que eu pedi.Para quem gosta de assistir jornal na televisão, os noticiários dela vai te informar bastante. Ela te informa sobre notícias tecnológicas, G1, dentre outros. Te informa o clima, horário, responde perguntas que estão na Web e na wikipedia, porém são um pouco limitadas mesmo.Para alarmes, você tem inúmeras opções de escolha somente com a voz. Você pode escolher acordar com a sua música preferida, adiar alarmes, dentre outras.Você pode apagar as luzes, trancar portas, ligar ar condicionado e ventilador somente com  a voz (óbvio hahaha), porém, requer compras adicionais.Você pode ""invadir"" sua alexa quando você quiser, para conversar com sua família, ouvir se tem algo estranho em casa. Meio que fosse um interfone, sabe?Lembrando que só é possível fazer chamadas para quem tem o aplicativo da Alexa instalado no celular, ou que tem um echo dot em casa.Sobre a privacidade, a alexa não vai ficar espiando. Ela só começa a processar frases após a frase de ativação (alexa, echo ou amazon). Você pode ouvir as gravaçoes de voz e apagar também.O reconhecimento de voz não é um dos melhores. As vezes, tem que falar 2 vezes alto para ela te ouvir, mas nada que atrapalhe o mesmo.

  
",Avaliado no Brasil em 5 de dezembro de 2020
"







  
  
    Ótimo som, ótima relação comando de voz. Muitas utilidades.
  
","5,0 de 5 estrelas","









  
  
    
  Bom, Primeiro gostaria de comentar sobre a entrega. Comprei na sexta-feira (BlackFriday) é recebi no DOMINGO!!!! por volta das 16:00hs.A configuração é bem simples.. e em poucos minutos você já sai falando com ela. O reconhecimento de voz é muito bom pois meu filho de 6 anos inicialmente a chamava de ""Alex"" e pediu a música do Queen falando ""I Want to beck free"". E ela tocou..O controle do volume pela voz também funciona bem. As funções que tem no App são bem legais.Sobre o som...era exatamente o que eu queria. A eco está na cozinha, e consigo ouvir bem em outros cômodos da casa... É bem potente. Dá pra curtir bem..Dá pra fazer muitas coisas.. eu agendo lembrete, incluo produtos em uma lista de compras, acionou tomar. Meu filho descobriu que ela imita pum!!!

  
",Avaliado no Brasil em 6 de dezembro de 2020
"







  
  
    Irmã Alexa mercenária
  
","1,0 de 5 estrelas","









  
  
    
  Como essa desgraça não conecta direito nem a outros produtos da Amazon, resolvi dar à minha avó pra ela ouvir música, afinal, ela só escuta música gospel mesmo. Eu disse a vó que alexa era crente, que sabia ler a bíblia e tocar hinos evangélicos. Vó ficou satisfeita por um tempo, mas depois veio reclamar porque ela mandou alexa tocar uns hinos da harpa cristã e alexa disse que só tocava se ela pagasse. Eu configurei uma conta do spotify no echo dot, defini o spotify com aplicativo de músicas padrão, mas a irmã alexa continua oferecendo assinaturas. Eu só tenho o Amazon Prime Music porque não tem jeito do Amazon Prime vir sem essa porcaria, até o Amazon Music Unlimited é um lixo, mas parece que vou ter que pagar a contribuição da irmã alexa.O echo dot também fica surdo se mudar o nome dele, tem que deixar Alexa e pronto. Quando minha prima Alexia for à casa de vó vai dar outra treta.

  
",Avaliado no Brasil em 9 de dezembro de 2021
"







  
  
    Entrega o que promete
  
","4,0 de 5 estrelas","









  
  
    
  Entrega o que promete, a assistente virtual é muito boa e tem ótimas respostas e interações, não tem muito o que reclamar, a não ser o reconhecimento de voz que deixa a desejar em alguns momentos como de longe que ela não escuta, quando o som tá muito alto fica quase impossível ele te ouvir de longe e as vezes msm de perto vc tem que falar Alexa mais de 4/5 vezes. Eu acho que isso pode mudar com uma atualização da Amazon já que essa é a primeira pq acabou de ser lançada, mas tá dando um pouco de dor de cabeça. Fora isso só tenho a elogiar uns dos melhores sons de mercado por esse valor, da pra pedir qualquer música no Spotify e se vc quiser automatizar a sua casa é uma boa.

  
",Avaliado no Brasil em 11 de novembro de 2020
"







  
  
    Produto excelente vale cada real pago
  
","5,0 de 5 estrelas","









  
  
    
  O produto excelente, vale cada centavo. Claro que o vocabulário é limitado (no reconhecimento do que você pede) se comparado com o assistente do G, mas é muito bom. Notei somente que ao pedir as notícias ele tem um delay entre a noticia apresentada e o que realmente esta na radio CBN, pela manhã percebi que em alguns caos ela me dá a notícia do dia anterior. E ao fim da tarde da as notícias de 2 horas atras. Quanto as músicas, 90% das músicas que pedi a ela, foi tocado perfeitamente. Os 10% que não foram tocadas ela ofereceu o pacote pago, que claro não é necessário. Se você formular corretamente a pergunta ela responderá com muita precisão. Dá até para colar na prova online :-)

  
",Avaliado no Brasil em 3 de março de 2021
"







  
  
    Um pouquinho complicada.... mas dá certo
  
","5,0 de 5 estrelas","









  
  
    
  Gostei muito do produto. Assim que chegou já fiquei um bom tempo mexendo, tentando aprender as configurações. Por enquanto, somente tenho a TV da samsung que deu certo com a Alexa, mas tive que baixar o aplicativo SmartThings pra poder parear, achei que ela faria a conexão direto por também ser integrada com a alexa de fábrica. Ainda estou apanhando um pouco em questão da configuração das skills, achei um pouco complicado. O próximo passo agora são as luzes e os serviços inteligentes. Gostei bastante da configuração de música e da facilidade de falar com ela. Lógico que se você pedir pra Alexa deixar o volume no máximo e tentar falar com ela de longe ela não vai te ouvir, o som é alto! Porém eu achei a qualidade do som um pouco comum, a qualidade da premium deve ser melhor... mas gostei mesmo assim! Fácil comunicação e resposta muito rápida, recomendo!

  
",Avaliado no Brasil em 27 de abril de 2021
"







  
  
    E ótima mas ainda tem pontos a melhorar
  
","4,0 de 5 estrelas","









  
  
    
  Pontos positivos: Rotinas, o que eu mais gostei de fato, tem muitas possibilidades e sempre funcionam corretamente com todos os dispositivos conectados. O som também é muito bom. As Skills são maravilhosas e as respostas são muito rápidas.Pontos negativos: O tradutor não é tão bom como a da concorrente, deixou muito a desejar. Falta mais integração com os outros produtos da Amazon, por exemplo não funciona com Fire Stick 2º geração.  Falta uma melhora no mecanismo de pesquisa. Falta uma melhora no reconhecimento da voz.Acredito que Alexa seja sim muito superior a Google Home porém ainda existe alguns pontos que a concorrente faz melhor.

  
",Avaliado no Brasil em 4 de dezembro de 2020
"







  
  
    Entrega o que promete e muito mais!
  
","5,0 de 5 estrelas","









  
  
    
  Bonito, funcional. Alexa é interativa, intuitiva e o som é de ótima qualidade para um aparelho deste tamanho.Só um porém. O manual é meio vago, dá poucos detalhes. Poderia ser mais descritivo e explicativo. Mas, ok!

  
",Avaliado no Brasil em 8 de novembro de 2020
"







  
  
    BUG DE COMPATIBILIDADE
  
","2,0 de 5 estrelas","









  
  
    
  O produto tem bom som, boa resposta de voz, mas eu estou frustrado sobre um problema que a Amazon classificou como incompatibilidade. Minha Echo dot 4 fica dando play insistentemente nos meus vídeos, áudios e músicas de aplicativos. O bug é tanto que se eu abrir um vídeo no instagram ( no computador), apertar play e sair da conversa, o áudio do vídeo voltará sem que eu dê o comando. Fiquei bastante decepcionado, pois tentei por alguns meios resolver o problema, mas não deu jeito. O dispositivo também veio desatualizado e eu tive que entrar em contato para que ele fosse atualizado. Tive a esperança que após a atualização o Bug fosse eliminado, mas infelizmente continua.

  
",Avaliado no Brasil em 26 de março de 2021
